CALENDAR_YEAR,COC_ID,COC_NAME,ETHNICITY,EXPERIENCING_HOMELESSNESS
2019,CA-512,San Mateo County CoC,Not Hispanic/Latinx,2831
2019,CA-512,San Mateo County CoC,Unknown,35
2019,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latinx,1790
2019,CA-513,"Kings, Tulare Counties CoC",Not Hispanic/Latinx,1707
2019,CA-513,"Kings, Tulare Counties CoC",Unknown,19
2019,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latinx,1163
2019,CA-514,"Fresno, Madera Counties CoC",Not Hispanic/Latinx,1427
2019,CA-514,"Fresno, Madera Counties CoC",Unknown,30
2019,CA-515,Placer County CoC,Hispanic/Latinx,315
2019,CA-515,Placer County CoC,Not Hispanic/Latinx,1338
2019,CA-515,Placer County CoC,Unknown,32
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latinx,64
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Not Hispanic/Latinx,616
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,174
2019,CA-517,Napa County CoC,Hispanic/Latinx,296
2019,CA-517,Napa County CoC,Not Hispanic/Latinx,630
2019,CA-517,Napa County CoC,Unknown,*
2019,CA-518,Solano County CoC,Hispanic/Latinx,204
2019,CA-518,Solano County CoC,Not Hispanic/Latinx,961
2019,CA-518,Solano County CoC,Unknown,15
2019,CA-519,Butte County CoC,Hispanic/Latinx,208
2019,CA-519,Butte County CoC,Not Hispanic/Latinx,1524
2019,CA-519,Butte County CoC,Unknown,15
2019,CA-520,Merced County CoC,Hispanic/Latinx,1705
2019,CA-520,Merced County CoC,Not Hispanic/Latinx,1417
2019,CA-520,Merced County CoC,Unknown,*
2019,CA-521,Yolo County CoC,Hispanic/Latinx,374
2019,CA-521,Yolo County CoC,Not Hispanic/Latinx,775
2019,CA-521,Yolo County CoC,Unknown,45
2019,CA-522,Humboldt County CoC,Hispanic/Latinx,132
2019,CA-522,Humboldt County CoC,Not Hispanic/Latinx,1164
2019,CA-522,Humboldt County CoC,Unknown,323
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latinx,155
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Not Hispanic/Latinx,227
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2019,CA-524,"Yuba, Sutter Counties CoC",Hispanic/Latinx,*
2019,CA-524,"Yuba, Sutter Counties CoC",Not Hispanic/Latinx,27
2019,CA-525,El Dorado County CoC,Hispanic/Latinx,37
2019,CA-525,El Dorado County CoC,Not Hispanic/Latinx,183
2019,CA-525,El Dorado County CoC,Unknown,*
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Hispanic/Latinx,75
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Not Hispanic/Latinx,314
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2019,CA-527,Tehama County CoC,Hispanic/Latinx,49
2019,CA-527,Tehama County CoC,Not Hispanic/Latinx,320
2019,CA-527,Tehama County CoC,Unknown,*
2019,CA-529,Lake County CoC,Hispanic/Latinx,51
