CALENDAR_YEAR,COC_ID,COC_NAME,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-607,Pasadena CoC (Los Angeles County),25-34,174
2017,CA-607,Pasadena CoC (Los Angeles County),35-44,209
2017,CA-607,Pasadena CoC (Los Angeles County),45-54,203
2017,CA-607,Pasadena CoC (Los Angeles County),55-64,144
2017,CA-607,Pasadena CoC (Los Angeles County),65+,48
2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,448
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,18
2017,CA-608,Riverside County CoC,18-24,673
2017,CA-608,Riverside County CoC,25-34,1069
2017,CA-608,Riverside County CoC,35-44,1004
2017,CA-608,Riverside County CoC,45-54,1107
2017,CA-608,Riverside County CoC,55-64,839
2017,CA-608,Riverside County CoC,65+,260
2017,CA-608,Riverside County CoC,Under 18,1617
2017,CA-608,Riverside County CoC,Unknown,134
2017,CA-609,San Bernardino County CoC,18-24,594
2017,CA-609,San Bernardino County CoC,25-34,1216
2017,CA-609,San Bernardino County CoC,35-44,942
2017,CA-609,San Bernardino County CoC,45-54,704
2017,CA-609,San Bernardino County CoC,55-64,559
2017,CA-609,San Bernardino County CoC,65+,162
2017,CA-609,San Bernardino County CoC,Under 18,4112
2017,CA-609,San Bernardino County CoC,Unknown,146
2017,CA-611,Ventura County CoC,18-24,119
2017,CA-611,Ventura County CoC,25-34,303
2017,CA-611,Ventura County CoC,35-44,317
2017,CA-611,Ventura County CoC,45-54,339
2017,CA-611,Ventura County CoC,55-64,311
2017,CA-611,Ventura County CoC,65+,88
2017,CA-611,Ventura County CoC,Under 18,452
2017,CA-611,Ventura County CoC,Unknown,21
2017,CA-612,Glendale CoC (Los Angeles County),18-24,13
2017,CA-612,Glendale CoC (Los Angeles County),25-34,49
2017,CA-612,Glendale CoC (Los Angeles County),35-44,34
2017,CA-612,Glendale CoC (Los Angeles County),45-54,51
2017,CA-612,Glendale CoC (Los Angeles County),55-64,47
2017,CA-612,Glendale CoC (Los Angeles County),65+,22
2017,CA-612,Glendale CoC (Los Angeles County),Under 18,125
2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2017,CA-613,Imperial County CoC,18-24,43
2017,CA-613,Imperial County CoC,25-34,90
2017,CA-613,Imperial County CoC,35-44,83
2017,CA-613,Imperial County CoC,45-54,86
2017,CA-613,Imperial County CoC,55-64,76
2017,CA-613,Imperial County CoC,65+,48
2017,CA-613,Imperial County CoC,Under 18,70
2017,CA-613,Imperial County CoC,Unknown,*
2017,CA-614,San Luis Obispo County CoC,18-24,134
2017,CA-614,San Luis Obispo County CoC,25-34,335
2017,CA-614,San Luis Obispo County CoC,35-44,243
2017,CA-614,San Luis Obispo County CoC,45-54,213
2017,CA-614,San Luis Obispo County CoC,55-64,191
2017,CA-614,San Luis Obispo County CoC,65+,72
2017,CA-614,San Luis Obispo County CoC,Under 18,498
2017,CA-614,San Luis Obispo County CoC,Unknown,34
2018,All,California,18-24,18409
2018,All,California,25-34,33324
2018,All,California,35-44,30207
2018,All,California,45-54,31392
2018,All,California,55-64,27821
2018,All,California,65+,8891
2018,All,California,Under 18,55504
