NAME,B01003_001E,B25014_001E,B25014_005E,B25014_006E,B25014_007E,B25014_011E,B25014_012E,B25014_013E,B25106_006E,B25106_010E,B25106_014E,B25106_018E,B25106_022E,B25106_028E,B25106_032E,B25106_036E,B25106_040E,B25106_044E,state,county,Year
"Modoc County, California",8907.0,3616.0,79.0,10.0,0.0,8.0,11.0,0.0,164.0,221.0,86.0,106.0,49.0,275.0,70.0,0.0,8.0,0.0,06,049,2019
"Contra Costa County, California",1142251.0,394769.0,4592.0,1136.0,371.0,9358.0,3401.0,1185.0,9032.0,10762.0,9959.0,15134.0,32508.0,16704.0,14328.0,12117.0,13971.0,9897.0,06,013,2019
"Inyo County, California",17977.0,7950.0,67.0,0.0,0.0,110.0,21.0,0.0,326.0,302.0,274.0,181.0,216.0,360.0,307.0,189.0,162.0,35.0,06,027,2019
"Stanislaus County, California",543194.0,173898.0,3429.0,730.0,415.0,5770.0,1255.0,414.0,5784.0,5825.0,5836.0,7055.0,4159.0,13273.0,12285.0,7329.0,3368.0,372.0,06,099,2019
"Santa Barbara County, California",444829.0,145856.0,2871.0,740.0,264.0,7257.0,3464.0,1061.0,3962.0,3312.0,2682.0,4719.0,7782.0,8908.0,8929.0,8339.0,7796.0,3971.0,06,083,2019
"Tehama County, California",63912.0,24189.0,299.0,117.0,14.0,443.0,148.0,13.0,1618.0,1294.0,935.0,779.0,280.0,1874.0,1747.0,549.0,154.0,58.0,06,103,2019
"Mono County, California",14310.0,4765.0,24.0,0.0,0.0,47.0,0.0,0.0,245.0,68.0,100.0,205.0,192.0,81.0,201.0,183.0,143.0,0.0,06,051,2019
"San Benito County, California",60376.0,18135.0,294.0,79.0,69.0,605.0,232.0,109.0,388.0,383.0,642.0,775.0,1726.0,669.0,855.0,605.0,495.0,392.0,06,069,2019
"Sacramento County, California",1524553.0,543025.0,5768.0,1354.0,627.0,13351.0,4496.0,1241.0,15767.0,15138.0,14554.0,19749.0,16864.0,42734.0,38794.0,23597.0,15459.0,3117.0,06,067,2019
"El Dorado County, California",188563.0,70974.0,538.0,174.0,72.0,775.0,153.0,43.0,3052.0,2795.0,2231.0,3279.0,4879.0,2963.0,2233.0,1465.0,1061.0,570.0,06,017,2019
"Monterey County, California",433410.0,127155.0,3391.0,645.0,409.0,7925.0,3023.0,2155.0,2929.0,3134.0,3117.0,4546.0,6975.0,6749.0,9317.0,7245.0,6418.0,3366.0,06,053,2019
"San Francisco County, California",874961.0,362354.0,3751.0,1597.0,433.0,5537.0,9557.0,3216.0,5342.0,4357.0,3638.0,6106.0,20220.0,27068.0,15823.0,9568.0,12087.0,15277.0,06,075,2019
"San Diego County, California",3316073.0,1125286.0,13465.0,3564.0,1459.0,37643.0,16763.0,4036.0,26685.0,26643.0,24684.0,40996.0,74276.0,65888.0,71510.0,58767.0,59051.0,30810.0,06,073,2019
"Tulare County, California",461898.0,138238.0,3752.0,905.0,260.0,6698.0,1302.0,454.0,6682.0,6263.0,4757.0,4266.0,1934.0,14363.0,10548.0,4045.0,1245.0,430.0,06,107,2019
"Humboldt County, California",135940.0,54679.0,593.0,251.0,55.0,877.0,526.0,92.0,2324.0,1628.0,2148.0,2083.0,1223.0,6004.0,4644.0,1717.0,1074.0,143.0,06,023,2019
"Alpine County, California",1039.0,350.0,5.0,3.0,0.0,2.0,0.0,0.0,19.0,16.0,11.0,12.0,31.0,7.0,2.0,0.0,2.0,0.0,06,003,2019
"Madera County, California",155433.0,44881.0,961.0,219.0,52.0,2232.0,512.0,406.0,1899.0,1782.0,1646.0,1474.0,923.0,3139.0,2734.0,1576.0,449.0,17.0,06,039,2019
"Santa Cruz County, California",273962.0,95818.0,1461.0,306.0,99.0,2892.0,1472.0,648.0,3050.0,2411.0,2208.0,3110.0,7590.0,6257.0,5005.0,3721.0,3870.0,2538.0,06,087,2019
