County,Population,Total Housing Units,Year,Units Overcrowded,Units Severely Overcrowded,Units Income < 50K,Units Costs >= 30%
Fresno County,984521.0,307906.0,2019,19670.0,9183.0,297846.0,119298.0
Kern County,887641.0,270282.0,2019,17587.0,7316.0,261276.0,102216.0
Orange County,3168044.0,1037492.0,2019,59028.0,32654.0,1012652.0,426895.0
Ventura County,847263.0,271040.0,2019,11855.0,5408.0,265523.0,109412.0
Calaveras County,45514.0,16942.0,2019,262.0,109.0,16471.0,6648.0
Sutter County,96109.0,32636.0,2019,1570.0,647.0,31629.0,11566.0
San Mateo County,767423.0,263543.0,2019,12333.0,8611.0,258266.0,95657.0
Tuolumne County,54045.0,22502.0,2019,608.0,103.0,21585.0,8083.0
San Joaquin County,742603.0,228567.0,2019,12472.0,4441.0,222390.0,87836.0
Amador County,38429.0,14594.0,2019,299.0,78.0,14205.0,4872.0
Lake County,64195.0,25660.0,2019,559.0,326.0,24396.0,9264.0
Yuba County,76360.0,26354.0,2019,1261.0,436.0,25621.0,9608.0
Lassen County,30818.0,9280.0,2019,137.0,31.0,8975.0,2491.0
Sonoma County,499772.0,189374.0,2019,7027.0,2742.0,184794.0,73589.0
Imperial County,180701.0,44829.0,2019,3304.0,1471.0,43173.0,16977.0
Alameda County,1656754.0,577177.0,2019,29007.0,16418.0,564523.0,214197.0
Napa County,139623.0,48705.0,2019,2203.0,809.0,47629.0,17904.0
Sierra County,3040.0,1319.0,2019,22.0,0.0,1288.0,403.0
Yolo County,217352.0,74296.0,2019,2957.0,1029.0,71249.0,26831.0
Nevada County,99244.0,40855.0,2019,502.0,360.0,39616.0,16443.0
Mendocino County,87224.0,34408.0,2019,1270.0,484.0,32603.0,13507.0
Los Angeles County,10081570.0,3316795.0,2019,218863.0,157049.0,3217551.0,1523449.0
Santa Clara County,1927470.0,640215.0,2019,33592.0,18630.0,627397.0,225166.0
Siskiyou County,43468.0,19240.0,2019,425.0,177.0,18531.0,6390.0
Del Norte County,27495.0,9945.0,2019,362.0,123.0,9499.0,3408.0
Alameda County,1661584.0,573174.0,2020,29223.0,16013.0,559962.0,209216.0
Alpine County,1159.0,397.0,2020,12.0,3.0,393.0,74.0
Butte County,223344.0,83879.0,2020,2208.0,697.0,80452.0,31533.0
Colusa County,21491.0,7329.0,2020,333.0,101.0,7020.0,2295.0
Contra Costa County,1147788.0,398299.0,2020,13484.0,6443.0,390259.0,144571.0
El Dorado County,190345.0,73078.0,2020,1437.0,427.0,71597.0,25710.0
Fresno County,990204.0,310097.0,2020,18892.0,11013.0,300178.0,117705.0
Humboldt County,136101.0,54120.0,2020,1330.0,909.0,52033.0,22361.0
Imperial County,180580.0,45768.0,2020,3002.0,1534.0,44299.0,17242.0
Kern County,892458.0,273556.0,2020,17723.0,7441.0,263935.0,102314.0
Kings County,151090.0,43604.0,2020,2667.0,983.0,42133.0,13808.0
Lassen County,30600.0,9172.0,2020,131.0,38.0,8849.0,2542.0
Madera County,155925.0,44479.0,2020,3564.0,1276.0,42964.0,15391.0
Marin County,259441.0,104900.0,2020,2874.0,1815.0,102798.0,40404.0
Mariposa County,17319.0,7846.0,2020,153.0,35.0,7526.0,2783.0
Mendocino County,87110.0,34164.0,2020,1308.0,556.0,32578.0,13298.0
Merced County,273661.0,81306.0,2020,5155.0,1786.0,77580.0,27794.0
Modoc County,8853.0,3594.0,2020,91.0,25.0,3398.0,772.0
Monterey County,432977.0,128003.0,2020,11257.0,6140.0,125322.0,52944.0
Napa County,138572.0,48484.0,2020,2062.0,796.0,47350.0,17712.0
Nevada County,99417.0,40917.0,2020,445.0,266.0,39932.0,15905.0
Orange County,3170345.0,1040001.0,2020,58296.0,33577.0,1015366.0,423099.0
Placer County,391799.0,145714.0,2020,1986.0,827.0,142400.0,49563.0
Plumas County,18844.0,8332.0,2020,173.0,23.0,8019.0,2330.0
Riverside County,2437864.0,736413.0,2020,36475.0,15555.0,716241.0,293971.0
Sacramento County,1537948.0,547519.0,2020,20077.0,8668.0,534556.0,206317.0
